Id,Port Number,Service Name,Transport Protocol,Description
28328,22285,,,Unassigned
28329,22286,,,Unassigned
28330,22287,,,Unassigned
28331,22288,,,Unassigned
28332,22289,,,Unassigned
28333,22290,,,Unassigned
28334,22291,,,Unassigned
28335,22292,,,Unassigned
28336,22293,,,Unassigned
28337,22294,,,Unassigned
28338,22295,,,Unassigned
28339,22296,,,Unassigned
28340,22297,,,Unassigned
28341,22298,,,Unassigned
28342,22299,,,Unassigned
28343,22300,,,Unassigned
28344,22301,,,Unassigned
28345,22302,,,Unassigned
28346,22303,,,Unassigned
28347,22304,,,Unassigned
28348,22305,cis,tcp,CompactIS Tunnel
28349,22305,cis,udp,CompactIS Tunnel
28350,22306,,,Unassigned
28351,22307,,,Unassigned
28352,22308,,,Unassigned
28353,22309,,,Unassigned
28354,22310,,,Unassigned
28355,22311,,,Unassigned
28356,22312,,,Unassigned
28357,22313,,,Unassigned
28358,22314,,,Unassigned
28359,22315,,,Unassigned
28360,22316,,,Unassigned
28361,22317,,,Unassigned
28362,22318,,,Unassigned
28363,22319,,,Unassigned
28364,22320,,,Unassigned
28365,22321,,,Unassigned
28366,22322,,,Unassigned
28367,22323,,,Unassigned
28368,22324,,,Unassigned
28369,22325,,,Unassigned
28370,22326,,,Unassigned
28371,22327,,,Unassigned
28372,22328,,,Unassigned
28373,22329,,,Unassigned
28374,22330,,,Unassigned
28375,22331,,,Unassigned
28376,22332,,,Unassigned
28377,22333,,,Unassigned
28378,22334,,,Unassigned
28379,22335,shrewd-control,tcp,Initium Labs Security and Automation Control
28380,22335,shrewd-stream,udp,Initium Labs Security and Automation Streaming
28381,22336,,,Unassigned
28382,22337,,,Unassigned
28383,22338,,,Unassigned
28384,22339,,,Unassigned
28385,22340,,,Unassigned
28386,22341,,,Unassigned
28387,22342,,,Unassigned
28388,22343,cis-secure,tcp,CompactIS Secure Tunnel
28389,22343,cis-secure,udp,CompactIS Secure Tunnel
